time_sec,x,y,theta,v,w
3.2800000000000002,-2.290600477027524e-12,-1.1061174590058031e-26,9.658048117494614e-15,-4.674711259721045e-12,1.971658242488403e-14
3.29,-2.3373475913547995e-12,-1.1517263277534863e-26,9.85497184278645e-15,-4.6747114327275245e-12,1.969237252918369e-14
3.3,-2.384094705349614e-12,-1.198256148378205e-26,1.005206268767879e-14,-4.674711399481481e-12,1.9709084489234027e-14
3.31,-2.4308418806886726e-12,-1.2457074522141057e-26,1.0249186956491212e-14,-4.6747175339058436e-12,1.9712426881242075e-14
3.32,-2.4775890333293654e-12,-1.2940804422633287e-26,1.0446400824448794e-14,-4.674715264069303e-12,1.972138679575823e-14
3.329,-2.5243362044586703e-12,-1.343375547127149e-26,1.0643690264685929e-14,-5.194130125478299e-12,2.1921048915237262e-14
3.34,-2.5710834208152993e-12,-1.3935928957643028e-26,1.0840946704519458e-14,-4.249746941511719e-12,1.7932403621229864e-14
3.35,-2.6178306211990044e-12,-1.4447323859859926e-26,1.1038220305240464e-14,-4.67472003837051e-12,1.9727360072100653e-14
3.36,-2.66457783309177e-12,-1.4967942967506515e-26,1.1235583267937431e-14,-4.6747211892765275e-12,1.973629626969671e-14
3.37,-2.711325050865061e-12,-1.5497785716079157e-26,1.143283525237764e-14,-4.674721777329151e-12,1.9725198444020876e-14
3.3810000000000002,-2.7580722901741654e-12,-1.6036843370118734e-26,1.162981666061318e-14,-4.2497490281003816e-12,1.7907400748685444e-14
3.3890000000000002,-2.804819566504962e-12,-1.6585113641396746e-26,1.1826962613469045e-14,-5.843409541349593e-12,2.4643244106983176e-14
3.4,-2.851566838530714e-12,-1.714260288918448e-26,1.2024236553003261e-14,-4.249752002341071e-12,1.7933994503110522e-14
3.41,-2.8983140734246587e-12,-1.7709313929854874e-26,1.2221520097891076e-14,-4.674723489394496e-12,1.9728354488781538e-14
3.4210000000000003,-2.9450613450290116e-12,-1.828525125426126e-26,1.2418947875549151e-14,-4.2497519640320815e-12,1.7947979787097716e-14
3.43,-2.9918085879295357e-12,-1.8870415246354687e-26,1.2616282259354495e-14,-5.194138100058211e-12,2.1926042645038215e-14
3.44,-3.0385558374263288e-12,-1.946479954097267e-26,1.2813418996491899e-14,-4.674724949679297e-12,1.9713673713740332e-14
3.45,-3.0853030828086592e-12,-2.006840250012977e-26,1.3010689107437209e-14,-4.674724538233043e-12,1.972701109453103e-14
3.46,-3.1320503429844203e-12,-2.068122753343361e-26,1.3207961183498925e-14,-4.674726017576085e-12,1.9727207606171662e-14
